Date,Open,High,Low,Close,Volume,Adj Close,Return
29/01/2014,5131,5183.84,5131,5183.84,677145900,5183.84,0.007880139
28/01/2014,5197.1,5197.1,5115.9,5130.95,794665900,5130.95,-0.010202861
24/01/2014,5218.3,5233.8,5197.1,5197.14,712473300,5197.14,0.012900145
23/01/2014,5274.6,5275.1,5208.7,5218.27,705316300,5218.27,0.004065698
22/01/2014,5285.4,5285.4,5240.6,5274.57,623387900,5274.57,0.010789016
21/01/2014,5249.5,5285.45,5231.3,5285.45,548473000,5285.45,0.002062727
20/01/2014,5259.5,5260,5215.1,5249.5,655301300,5249.5,-0.006801691
17/01/2014,5262.3,5272.3,5238,5259.46,720549900,5259.46,0.001897324
16/01/2014,5199.8,5262.3,5199.8,5262.29,812067600,5262.29,0.000538078
15/01/2014,5166.8,5210.3,5166.8,5199.77,697371000,5199.77,-0.011880759
14/01/2014,5245.7,5245.7,5162.3,5166.85,765404200,5166.85,-0.006331049
13/01/2014,5265.3,5270.8,5242,5245.72,548741700,5245.72,0.01526462
10/01/2014,5277.3,5277.3,5258.9,5265.32,738698400,5265.32,0.003736379
9/01/2014,5268.7,5277.31,5248.4,5277.31,554153300,5277.31,0.002277165
8/01/2014,5269.9,5305.2,5256.6,5268.67,573883400,5268.67,-0.001637198
7/01/2014,5277.8,5298.6,5267.3,5269.95,583804600,5269.95,0.000242946
6/01/2014,5302.9,5314.7,5270.8,5277.79,413969500,5277.79,0.00148768
3/01/2014,5320.8,5320.8,5279.2,5302.91,393411100,5302.91,0.004759568
2/01/2014,5304.8,5335.4,5304.8,5320.8,351637900,5320.8,0.003373619
31/12/2013,5309.2,5319.4,5291.3,5304.81,338769100,5304.81,-0.003005187
30/12/2013,5275.8,5309.25,5275.8,5309.25,389984800,5309.25,0.000836976
27/12/2013,5278.4,5316,5271.6,5275.8,290116200,5275.8,-0.006300325
24/12/2013,5243.7,5280.9,5243.7,5278.45,306593700,5278.45,0.000502293
23/12/2013,5215.8,5244.2,5209.6,5243.71,617218300,5243.71,-0.006581478
20/12/2013,5154.5,5215.81,5154.5,5215.81,1494329000,5215.81,-0.00532066
19/12/2013,5050.4,5154.52,5050.4,5154.52,898185100,5154.52,-0.011750811
18/12/2013,5057.5,5069.5,5047.5,5050.45,710581600,5050.45,-0.020190047
17/12/2013,5044.1,5088.6,5039.3,5057.49,686145100,5057.49,0.001393935
16/12/2013,5052.5,5055.5,5014.7,5044.12,558048200,5044.12,-0.002643604
13/12/2013,5017.5,5052.51,5002.2,5052.51,711663300,5052.51,0.001663323
12/12/2013,5058.3,5068.9,4983.6,5017.52,1037454500,5017.52,-0.006925271
11/12/2013,5090.7,5095.3,5058.3,5058.32,672463400,5058.32,0.008131507
10/12/2013,5098.1,5138,5094.1,5096.89,849996100,5096.89,0.007625061
9/12/2013,5139,5159.9,5087.7,5098.12,674886100,5098.12,0.000241324
6/12/2013,5150.1,5150.8,5108,5138.98,616430800,5138.98,0.008014719
