"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"The benefits of coffee for productivity and collaboration: http://t.co/NwDBv33Cqe #coffeeweek #takeback60 http://t.co/Kvjfbr8ORs",FALSE,0,NA,2014-08-21 12:01:41,FALSE,NA,"502425304477208576",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Creating a presentation or writing an email to a colleague? Utilize these 12 tips for strong, credible biz writing: http://t.co/IiVhQrrrFa",FALSE,1,NA,2014-08-21 02:01:20,FALSE,NA,"502274222019067905",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#IT's biggest challenges = #mobility, cloud &amp; big data. We addressed these challenges at #GartnerCAT : http://t.co/GmRNmQ43ZN",FALSE,0,NA,2014-08-20 23:01:35,FALSE,NA,"502228984600756225",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",3,FALSE,FALSE,NA,NA
"We love #innovation! This bike grows up w/ your kids so you don't have to buy new ones: http://t.co/5qnxH5dspy http://t.co/yz2u1uXAYo",FALSE,0,NA,2014-08-20 22:02:03,FALSE,NA,"502214000558768128",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Siri’s inventors are building a radical new AI that does anything you ask. Read about it in our Flipboard magazine: http://t.co/q73ht1zBJg",FALSE,0,NA,2014-08-20 21:01:39,FALSE,NA,"502198800891801600",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"Hosted an awesome #webinar? Here's what you should do immediately after it's over: http://t.co/ckZ6ZwwJm8  http://t.co/9HD308alQV",FALSE,0,NA,2014-08-20 20:02:19,FALSE,NA,"502183869425418240",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Who's responsible for ensuring your customers are happy every time they reach out? The #CIO: http://t.co/h2de81j4ep http://t.co/lD9JdQTq6Q",FALSE,1,NA,2014-08-20 19:01:21,FALSE,NA,"502168529316347904",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"The benefits of coffee for productivity and collaboration: http://t.co/NwDBv33Cqe #coffeeweek #takeback60 http://t.co/Kvjfbr8ORs",FALSE,1,NA,2014-08-20 18:02:04,FALSE,NA,"502153610197995520",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",2,FALSE,FALSE,NA,NA
"Today's workers &amp; businesses are rethinking what the ""#workday"" means. The 12 most common types of #flexwork: http://t.co/kjZwtNVwb8",FALSE,0,NA,2014-08-20 17:01:49,FALSE,NA,"502138445507346432",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"We're really excited to be partnering with @thinkingphones &amp; integrating our products: http://t.co/wTVKe7BiFR by @talkin_cloud @dkobialka",FALSE,1,NA,2014-08-20 16:27:40,FALSE,NA,"502129852158201856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGi",0,FALSE,FALSE,NA,NA
"#Millennials: 9 career tips by Fairy God-Millennial @BlakelyAgs: http://t.co/Yxlt1TgtFA w/ @chelseakrost Career Guide http://t.co/JJw4PE1tvy",FALSE,1,NA,2014-08-20 16:21:29,FALSE,NA,"502128297090617344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGi",0,FALSE,FALSE,NA,NA
"Follow us on #GooglePlus company news, collaboration trends and so much more! Go here: http://t.co/aq3koPF4pB http://t.co/BEClclo5G1",FALSE,0,NA,2014-08-20 16:02:24,FALSE,NA,"502123492679356416",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"#Flexiblework: 12 of the most common types of #flexwork: http://t.co/bZfxX0eeRB w/ @SlideShare http://t.co/b50quGT1VL",FALSE,0,NA,2014-08-20 15:02:05,FALSE,NA,"502108315212865536",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"We're hiring! View our open positions here: http://t.co/qUPkVKEWv6 w/ @PGiJobs #jobs #careerhunt #hiring http://t.co/6Sbn2jmeUk",FALSE,0,NA,2014-08-20 14:02:07,FALSE,NA,"502093222550990848",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Interns: Is your summer #internship coming to a close? 4 things you should do before heading #backtoschool: http://t.co/SwJ1xA1Ty9",FALSE,0,NA,2014-08-20 13:02:05,FALSE,NA,"502078115531997185",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#HR: Watch our recent webcast, learn innovative ways to communicate benefits to a dispersed workforce http://t.co/HgcGPmSorS #humanresources",FALSE,0,NA,2014-08-20 12:01:20,FALSE,NA,"502062827646255104",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Interns: Is your summer #internship coming to a close? 4 things you should do before heading #backtoschool: http://t.co/EULyPAngY1",FALSE,1,NA,2014-08-20 01:01:07,FALSE,NA,"501896676966006785",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"#Flexiblework: 12 of the most common types of #flexwork: http://t.co/bZfxX0eeRB w/ @SlideShare http://t.co/b50quGT1VL",FALSE,0,NA,2014-08-19 22:01:29,FALSE,NA,"501851470262968321",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
